,0
653,15304
654,17688
655,12116
656,9680
657,19296
658,16888
659,18800
660,13556
661,17168
662,8568
663,16956
664,4160
665,16932
666,8748
667,11764
668,6388
669,8056
670,17888
671,9212
672,16392
673,7292
674,8324
675,8844
676,19624
677,7500
678,17132
679,17740
680,14360
681,32180
682,32364
683,13160
684,25784
685,8868
686,19600
687,18640
688,23556
689,15540
690,9964
691,16432
692,17076
693,17296
694,13196
695,23240
696,18032
697,9684
698,15556
699,12904
700,15612
701,8852
702,12012
703,38444
704,10472
705,7352
706,5052
707,3848
708,23044
709,8748
710,19572
711,18200
712,16176
713,29712
714,20804
715,13832
716,19488
717,19304
718,18844
719,18136
720,5100
721,18128
722,3896
723,21528
724,18804
725,29848
726,17976
727,19044
728,11928
729,17916
730,14520
731,17024
732,3928
733,12688
734,25072
735,17784
736,25352
737,31152
738,11996
739,18976
740,14168
741,27224
742,3364
743,19900
744,17948
745,8616
746,13796
747,22440
748,7024
749,24508
750,10044
751,8832
752,25732
753,8104
754,15652
755,16048
756,26892
757,19644
758,11204
759,9960
760,19068
761,19816
762,7812
763,16044
764,19768
765,17784
766,16180
767,9924
768,18780
769,31716
770,7456
771,12876
772,21684
773,31692
774,9692
775,9600
776,16484
777,27680
778,13848
779,16072
780,18064
781,27868
782,10460
783,25608
784,14240
785,9564
786,12760
787,19280
788,27604
789,16328
790,14804
791,19788
792,12864
793,12320
794,10128
795,19824
796,14156
797,16748
798,19892
799,16340
800,7964
801,7196
802,8776
803,5288
804,36504
805,16776
806,23012
807,9696
808,11284
809,20424
810,8896
811,15052
812,17628
813,11464
814,12800
815,8720
816,14608
817,9328
818,16356
819,9760
820,13152
821,8124
822,16452
823,17332
824,4396
825,16232
826,17556
827,17816
828,25220
829,14952
830,30344
831,11500
832,13260
833,19120
834,16564
835,7908
836,26032
837,20492
838,17404
839,13288
840,4616
841,8884
842,30596
843,8608
844,18448
845,10436
846,3372
847,24892
848,8144
849,16360
850,13860
851,14660
852,16696
853,20668
854,13756
855,9500
856,19360
857,18284
858,5980
859,19208
860,20528
861,35812
862,15112
863,8088
864,18160
865,14144
866,12776
867,26836
868,16012
869,8080
870,12220
871,18208
872,16916
873,28300
874,19376
875,16884
876,15660
877,8232
878,14700
879,18056
880,7404
881,4440
882,16208
883,18296
884,11404
885,31004
886,16296
887,7540
888,18208
889,14744
890,19072
891,27220
892,18964
893,9072
894,9520
895,8548
896,18556
897,16904
898,14764
899,7784
900,28480
901,14216
902,15392
903,29296
904,24796
905,16068
906,18304
907,28132
908,17232
909,10572
910,18756
911,4248
912,29592
913,27564
914,9376
915,15832
916,37700
917,26544
918,8104
919,8756
920,18716
921,16688
922,9460
923,11228
924,8344
925,8276
926,16884
927,17028
928,16560
929,7192
930,15004
931,18112
932,6992
933,17064
934,2924
935,16476
936,20424
937,16596
938,16692
939,29384
940,30536
941,16404
942,16980
943,15120
944,8348
945,12964
946,5420
947,13660
948,20376
949,6224
950,18168
951,16896
952,18340
953,16472
954,3472
955,11620
956,10688
957,17400
958,18816
959,35716
960,12956
961,17088
962,17740
963,7136
964,16720
965,33200
966,7304
967,12248
968,19784
969,10808
970,38248
971,23928
972,13036
973,14032
974,7320
975,16936
976,12824
977,12572
978,12132
979,29604
980,14144
981,12416
982,8812
983,16876
984,12868
985,16444
986,11828
987,16868
988,11256
989,13376
990,16492
991,18100
992,19620
993,16880
994,17508
995,12532
996,29056
997,12432
998,9468
999,13636
1000,16168
1001,16792
1002,7576
1003,8680
1004,15788
1005,16552
1006,13816
1007,16472
1008,21000
1009,15964
1010,11292
1011,8812
1012,8256
1013,21952
1014,16368
1015,12500
1016,4628
1017,8860
1018,28364
