,0
727,1024
728,1024
729,1024
730,1024
731,1024
732,256
733,1024
734,2048
735,1024
736,2048
737,2048
738,1024
739,1024
740,1024
741,2048
742,256
743,1024
744,1024
745,512
746,1024
747,1024
748,512
749,2048
750,512
751,512
752,2048
753,512
754,1024
755,1024
756,2048
757,1024
758,512
759,512
760,1024
761,1024
762,512
763,1024
764,1024
765,1024
766,1024
767,512
768,1024
769,2048
770,512
771,1024
772,1024
773,2048
774,512
775,512
776,1024
777,2048
778,1024
779,1024
780,1024
781,2048
782,1024
783,2048
784,1024
785,512
786,1024
787,1024
788,2048
789,1024
790,1024
791,1024
792,1024
793,1024
794,512
795,1024
796,1024
797,1024
798,1024
799,1024
800,512
801,512
802,512
803,512
804,2048
805,1024
806,2048
807,512
808,1024
809,1024
810,512
811,1024
812,1024
813,1024
814,1024
815,512
816,1024
817,512
818,1024
819,512
820,512
821,512
822,1024
823,1024
824,256
825,1024
826,1024
827,1024
828,2048
829,1024
830,2048
831,512
832,1024
833,1024
834,1024
835,512
836,2048
837,1024
838,1024
839,1024
840,256
841,512
842,2048
843,512
844,1024
845,512
846,256
847,2048
848,512
849,1024
850,1024
851,512
852,1024
853,1024
854,1024
855,512
856,1024
857,1024
858,512
859,1024
860,1024
861,2048
862,1024
863,512
864,1024
865,1024
866,1024
867,2048
868,1024
869,512
870,1024
871,1024
872,1024
873,2048
874,1024
875,1024
876,1024
877,512
878,1024
879,1024
880,512
881,256
882,1024
883,1024
884,512
885,2048
886,1024
887,512
888,1024
889,1024
890,1024
891,2048
892,1024
893,512
894,512
895,512
896,1024
897,1024
898,1024
899,512
900,2048
901,1024
902,1024
903,2048
904,1024
905,1024
906,1024
907,2048
908,1024
909,512
910,1024
911,256
912,2048
913,2048
914,512
915,1024
916,2048
917,2048
918,512
919,512
920,1024
921,1024
922,512
923,1024
924,512
925,512
926,1024
927,1024
928,1024
929,512
930,1024
931,1024
932,512
933,1024
934,256
935,1024
936,1024
937,1024
938,1024
939,2048
940,2048
941,1024
942,1024
943,1024
944,512
945,1024
946,512
947,1024
948,1024
949,512
950,1024
951,1024
952,1024
953,1024
954,256
955,1024
956,1024
957,1024
958,1024
959,2048
960,1024
961,1024
962,1024
963,512
964,1024
965,2048
966,512
967,1024
968,1024
969,512
970,2048
971,2048
972,1024
973,1024
974,512
975,1024
976,1024
977,1024
978,1024
979,2048
980,1024
981,1024
982,512
983,1024
984,1024
985,1024
986,1024
987,1024
988,512
989,1024
990,1024
991,1024
992,1024
993,1024
994,1024
995,1024
996,2048
997,1024
998,512
999,1024
1000,1024
1001,1024
1002,512
1003,512
1004,1024
1005,1024
1006,1024
1007,1024
1008,1024
1009,1024
1010,1024
1011,512
1012,512
1013,1024
1014,1024
1015,1024
1016,256
1017,512
1018,2048
1019,1024
1020,512
1021,1024
1022,1024
1023,1024
1024,1024
1025,1024
1026,1024
1027,1024
1028,1024
1029,1024
1030,2048
1031,1024
1032,1024
1033,2048
1034,1024
1035,1024
1036,1024
1037,1024
1038,1024
1039,512
1040,1024
1041,2048
1042,2048
1043,512
1044,1024
1045,1024
1046,512
1047,512
1048,2048
1049,1024
1050,2048
1051,1024
1052,1024
1053,1024
1054,1024
1055,512
1056,1024
1057,2048
1058,512
1059,512
1060,1024
1061,2048
1062,1024
1063,512
1064,1024
1065,1024
1066,1024
1067,2048
1068,2048
1069,512
1070,2048
1071,512
1072,1024
1073,512
1074,2048
1075,512
1076,512
1077,512
1078,2048
1079,1024
1080,2048
1081,1024
1082,2048
1083,2048
1084,512
1085,1024
1086,1024
1087,1024
1088,512
1089,1024
1090,1024
1091,1024
1092,512
1093,1024
1094,512
1095,512
1096,512
1097,2048
1098,2048
1099,1024
1100,1024
1101,1024
1102,1024
1103,512
1104,512
1105,2048
1106,1024
1107,2048
1108,2048
1109,512
1110,1024
1111,512
1112,512
1113,1024
1114,1024
1115,1024
1116,1024
1117,512
1118,1024
1119,512
1120,1024
1121,2048
1122,2048
1123,512
1124,512
1125,512
1126,1024
1127,2048
1128,1024
1129,1024
1130,1024
1131,2048
1132,1024
1133,1024
1134,1024
1135,512
1136,1024
1137,2048
1138,1024
1139,1024
1140,1024
1141,2048
1142,512
1143,512
1144,512
1145,1024
1146,512
1147,512
1148,512
1149,2048
1150,1024
1151,1024
1152,1024
1153,2048
1154,256
1155,2048
1156,1024
1157,512
1158,1024
1159,512
1160,1024
1161,512
1162,1024
1163,1024
1164,1024
1165,1024
1166,512
1167,1024
1168,2048
1169,1024
1170,2048
1171,2048
1172,1024
1173,1024
1174,1024
1175,128
1176,1024
1177,1024
1178,1024
1179,512
1180,1024
1181,256
1182,512
1183,512
1184,512
1185,256
1186,2048
1187,1024
1188,1024
1189,1024
1190,2048
1191,1024
1192,256
1193,2048
1194,1024
1195,1024
1196,1024
1197,512
1198,512
1199,1024
1200,1024
1201,1024
1202,2048
1203,512
1204,512
1205,1024
1206,512
1207,512
1208,1024
1209,1024
1210,512
1211,512
1212,512
1213,512
1214,1024
1215,1024
1216,1024
1217,512
1218,512
1219,1024
1220,512
1221,512
1222,1024
1223,1024
1224,1024
1225,256
1226,1024
1227,1024
1228,1024
1229,1024
1230,1024
1231,512
1232,1024
1233,1024
1234,1024
1235,2048
1236,2048
1237,512
1238,1024
1239,1024
1240,512
1241,512
1242,2048
1243,512
1244,1024
1245,1024
1246,512
1247,2048
1248,1024
1249,512
1250,512
1251,1024
1252,2048
1253,1024
1254,1024
1255,512
1256,1024
1257,512
1258,1024
1259,1024
1260,1024
1261,1024
1262,512
1263,1024
1264,512
1265,2048
1266,1024
1267,2048
1268,1024
1269,1024
1270,1024
1271,1024
1272,512
1273,1024
1274,2048
1275,1024
1276,512
1277,1024
1278,1024
1279,1024
1280,1024
1281,512
1282,512
1283,1024
1284,512
1285,1024
1286,1024
1287,512
1288,512
1289,512
1290,1024
1291,1024
1292,2048
1293,512
1294,512
1295,1024
1296,1024
1297,1024
1298,512
1299,1024
1300,1024
1301,2048
1302,1024
1303,1024
1304,1024
1305,512
1306,1024
1307,512
1308,2048
1309,512
1310,512
1311,512
1312,1024
1313,1024
1314,2048
1315,1024
1316,1024
1317,1024
1318,1024
1319,1024
1320,512
1321,1024
1322,512
1323,1024
1324,256
1325,1024
1326,1024
1327,1024
1328,1024
1329,1024
1330,512
1331,1024
1332,1024
1333,1024
1334,1024
1335,512
1336,1024
1337,512
1338,512
1339,256
1340,1024
1341,2048
1342,1024
1343,1024
